Sales Person,Country,Product,Amount,Boxes Shipped,Day,Month,Year,Price Per Box
Jehu Rudeforth,UK,Mint Chip Choco,5320.0,180,Tuesday,January,2022,29.555555555555557
Van Tuxwell,India,85% Dark Bars,7896.0,94,Monday,August,2022,84.0
Gigi Bohling,India,Peanut Butter Cubes,4501.0,91,Thursday,July,2022,49.46153846153846
Jan Morforth,Australia,Peanut Butter Cubes,12726.0,342,Wednesday,April,2022,37.21052631578947
Jehu Rudeforth,UK,Peanut Butter Cubes,13685.0,184,Thursday,February,2022,74.375
Van Tuxwell,India,Smooth Sliky Salty,5376.0,38,Monday,June,2022,141.47368421052633
Oby Sorrel,UK,99% Dark & Pure,13685.0,176,Tuesday,January,2022,77.75568181818181
Gunar Cockshoot,Australia,After Nines,3080.0,73,Thursday,March,2022,42.19178082191781
Jehu Rudeforth,New Zealand,50% Dark Bites,3990.0,59,Wednesday,April,2022,67.62711864406779
Brien Boise,Australia,99% Dark & Pure,2835.0,102,Monday,July,2022,27.794117647058822
Rafaelita Blaksland,UK,Smooth Sliky Salty,4704.0,62,Thursday,January,2022,75.87096774193549
Barr Faughny,USA,Orange Choco,3703.0,11,Thursday,March,2022,336.6363636363636
Mallorie Waber,Canada,Eclairs,1442.0,286,Thursday,January,2022,5.041958041958042
Karlen McCaffrey,New Zealand,Drinking Coco,168.0,156,Thursday,July,2022,1.0769230769230769
Marney O'Breen,New Zealand,Peanut Butter Cubes,8379.0,173,Wednesday,August,2022,48.433526011560694
Beverie Moffet,Australia,Organic Choco Syrup,6790.0,356,Wednesday,January,2022,19.073033707865168
Van Tuxwell,Canada,Organic Choco Syrup,4067.0,42,Monday,February,2022,96.83333333333333
Roddy Speechley,USA,Smooth Sliky Salty,3017.0,140,Tuesday,April,2022,21.55
Beverie Moffet,Canada,Milk Bars,8799.0,250,Wednesday,February,2022,35.196
Curtice Advani,UK,85% Dark Bars,1085.0,172,Wednesday,June,2022,6.308139534883721
Brien Boise,Australia,Eclairs,6888.0,88,Monday,June,2022,78.27272727272727
Gunar Cockshoot,USA,Spicy Special Slims,1267.0,157,Thursday,February,2022,8.070063694267516
Marney O'Breen,USA,After Nines,4753.0,163,Monday,May,2022,29.15950920245399
Husein Augar,UK,Drinking Coco,3003.0,113,Monday,March,2022,26.575221238938052
Kaine Padly,Australia,Eclairs,7672.0,115,Monday,February,2022,66.71304347826087
